text,label
Hi,greetings
Hello,greeting
Hey,greeting
Good morning,greeting
Good evening,greeting
Hi there,greeting
Hello bot,greeting
Hey doctor,greeting
I have headache,symptom_headache
My head hurts,symptom_headache
Migraine pain,symptom_headache
Severe headache,symptom_headache
Head is paining,symptom_headache
Pain in my head,symptom_headache
Feeling headache,symptom_headache
I have fever,symptom_fever
High temperature,symptom_fever
Feeling feverish,symptom_fever
I am having fever,symptom_fever
My body is hot,symptom_fever
Temperature is rising,symptom_fever
I feel very hot,symptom_fever
I have chest pain,symptom_heart
Pain in chest,symptom_heart
Heart is hurting,symptom_heart
Tightness in chest,symptom_heart
Chest discomfort,symptom_heart
Pain near heart,symptom_heart
Heavy chest feeling,symptom_heart
I have skin rash,symptom_skin
Skin irritation,symptom_skin
Red spots on skin,symptom_skin
Itchy skin,symptom_skin
Rashes on body,symptom_skin
Skin allergy,symptom_skin
Burning skin feeling,symptom_skin
I want to book appointment,booking
Book doctor,booking
Schedule appointment,booking
I need an appointment,booking
Can I book doctor,booking
I want to see a doctor,booking
Make appointment,booking
Tomorrow at 5 pm,date_time
Next Monday,date_time
Today evening,date_time
Tomorrow morning,date_time
Book for today,date_time
Schedule for tomorrow,date_time
Next week,date_time
Thanks,goodbye
Thank you,goodbye
Bye,goodbye
See you,goodbye
Thanks a lot,goodbye
Okay bye,goodbye
what is the timing of doctor,doctor_timings
when is the doctor available,doctor_timings
is dr james anderson available,doctor_timings
show me doctor timings,doctor_timings
what hours are available,doctor_timings
check doctor schedule,doctor_timings
when are the slots free,doctor_timings
what time can I see a doctor,doctor_timings
timings of the clinic,doctor_timings
are there any available slots today,doctor_timings
what are Dr. Anderson's timings,doctor_timings
list doctor slots,doctor_timings
can I see doctor schedules,doctor_timings
tell me doctor timings,doctor_timings
book doctor james anderson,booking
can I schedule an appointment with dr anderson,booking
make a booking with doctor,booking
I need to schedule a visit,booking
book a slot for tomorrow,booking
